Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m)
3460,45.0000318412,-73.9998812074,1
3470,45.0000319291,-73.9998812546,1
3480,45.000032017,-73.9998813019,1
3490,45.0000321049,-73.9998813494,1
3500,45.0000321927,-73.999881397,1
3510,45.0000322805,-73.9998814448,1
3520,45.0000323683,-73.9998814927,1
3530,45.0000324561,-73.9998815407,1
3540,45.0000325437,-73.9998815888,1
3550,45.0000326314,-73.999881637,1
3560,45.000032719,-73.9998816854,1
3570,45.0000328066,-73.999881734,1
3580,45.0000328942,-73.9998817826,1
3590,45.0000329817,-73.9998818314,1
3600,45.0000330692,-73.9998818803,1
3610,45.0000331566,-73.9998819293,1
3620,45.000033244,-73.9998819785,1
3630,45.0000333314,-73.9998820278,1
3640,45.0000334188,-73.9998820772,1
3650,45.0000335061,-73.9998821268,1
3660,45.0000335933,-73.9998821765,1
3670,45.0000336806,-73.9998822263,1
3680,45.0000337677,-73.9998822762,1
3690,45.0000338549,-73.9998823263,1
3700,45.000033942,-73.9998823765,1
3710,45.0000340291,-73.9998824268,1
3720,45.0000341161,-73.9998824773,1
3730,45.0000342031,-73.9998825279,1
3740,45.0000342901,-73.9998825786,1
3750,45.000034377,-73.9998826295,1
3760,45.0000344639,-73.9998826804,1
3770,45.0000345508,-73.9998827315,1
3780,45.0000346376,-73.9998827828,1
3790,45.0000347244,-73.9998828341,1
3800,45.0000348111,-73.9998828856,1
3810,45.0000348978,-73.9998829372,1
3820,45.0000349845,-73.999882989,1
3830,45.0000350711,-73.9998830409,1
3840,45.0000351577,-73.9998830929,1
3850,45.0000352442,-73.999883145,1
3860,45.0000353308,-73.9998831972,1
3870,45.0000354172,-73.9998832496,1
3880,45.0000355037,-73.9998833022,1
3890,45.00003559,-73.9998833548,1
3900,45.0000356764,-73.9998834076,1
3910,45.0000357627,-73.9998834605,1
3920,45.000035849,-73.9998835135,1
3930,45.0000359352,-73.9998835666,1
3940,45.0000360214,-73.9998836199,1
3950,45.0000361076,-73.9998836733,1
3960,45.0000361937,-73.9998837269,1
3970,45.0000362798,-73.9998837805,1
3980,45.0000363658,-73.9998838343,1
3990,45.0000364518,-73.9998838883,1
4000,45.0000365378,-73.9998839423,1
4010,45.0000366237,-73.9998839965,1
4020,45.0000367096,-73.9998840508,1
4030,45.0000367954,-73.9998841052,1
4040,45.0000368812,-73.9998841598,1
4050,45.000036967,-73.9998842144,1
4060,45.0000370527,-73.9998842693,1
4070,45.0000371384,-73.9998843242,1
4080,45.000037224,-73.9998843793,1
4090,45.0000373096,-73.9998844344,1
4100,45.0000373951,-73.9998844898,1
4110,45.0000374807,-73.9998845452,1
4120,45.0000375661,-73.9998846008,1
4130,45.0000376516,-73.9998846565,1
4140,45.0000377369,-73.9998847123,1
4150,45.0000378223,-73.9998847683,1
4160,45.0000379076,-73.9998848243,1
4170,45.0000379929,-73.9998848805,1
4180,45.0000380781,-73.9998849369,1
4190,45.0000381633,-73.9998849933,1
4200,45.0000382484,-73.9998850499,1
4210,45.0000383335,-73.9998851066,1
4220,45.0000384186,-73.9998851634,1
4230,45.0000385036,-73.9998852204,1
4240,45.0000385885,-73.9998852775,1
4250,45.0000386735,-73.9998853347,1
4260,45.0000387584,-73.999885392,1
4270,45.0000388432,-73.9998854495,1
4280,45.000038928,-73.9998855071,1
4290,45.0000390128,-73.9998855648,1
4300,45.0000390975,-73.9998856226,1
4310,45.0000391821,-73.9998856806,1
4320,45.0000392668,-73.9998857387,1
4330,45.0000393514,-73.9998857969,1
4340,45.0000394359,-73.9998858552,1
4350,45.0000395204,-73.9998859137,1
4360,45.0000396049,-73.9998859723,1
4370,45.0000396893,-73.999886031,1
4380,45.0000397736,-73.9998860899,1
4390,45.000039858,-73.9998861488,1
4400,45.0000399423,-73.9998862079,1
4410,45.0000400265,-73.9998862671,1
4420,45.0000401107,-73.9998863265,1
4430,45.0000401948,-73.9998863859,1
4440,45.0000402789,-73.9998864455,1
4450,45.000040363,-73.9998865052,1
4460,45.000040447,-73.9998865651,1
4470,45.000040531,-73.999886625,1
4480,45.0000406149,-73.9998866851,1
4490,45.0000406988,-73.9998867453,1
4500,45.0000407827,-73.9998868057,1
4510,45.0000408665,-73.9998868661,1
4520,45.0000409502,-73.9998869267,1
4530,45.0000410339,-73.9998869874,1
4540,45.0000411176,-73.9998870483,1
4550,45.0000412012,-73.9998871092,1
4560,45.0000412848,-73.9998871703,1
4570,45.0000413683,-73.9998872315,1
4580,45.0000414518,-73.9998872928,1
4590,45.0000415352,-73.9998873543,1
4600,45.0000416186,-73.9998874158,1
4610,45.0000417019,-73.9998874775,1
4620,45.0000417852,-73.9998875394,1
4630,45.0000418685,-73.9998876013,1
4640,45.0000419517,-73.9998876634,1
4650,45.0000420349,-73.9998877256,1
4660,45.000042118,-73.9998877879,1
4670,45.000042201,-73.9998878503,1
4680,45.0000422841,-73.9998879129,1
4690,45.000042367,-73.9998879756,1
4700,45.00004245,-73.9998880384,1
4710,45.0000425328,-73.9998881013,1
4720,45.0000426157,-73.9998881643,1
4730,45.0000426985,-73.9998882275,1
4740,45.0000427812,-73.9998882908,1
4750,45.0000428639,-73.9998883542,1
4760,45.0000429465,-73.9998884178,1
4770,45.0000430291,-73.9998884814,1
4780,45.0000431117,-73.9998885452,1
4790,45.0000431942,-73.9998886091,1
4800,45.0000432767,-73.9998886732,1
4810,45.0000433591,-73.9998887373,1
4820,45.0000434414,-73.9998888016,1
4830,45.0000435238,-73.999888866,1
4840,45.000043606,-73.9998889305,1
4850,45.0000436883,-73.9998889951,1
4860,45.0000437704,-73.9998890599,1
4870,45.0000438525,-73.9998891248,1
4880,45.0000439346,-73.9998891898,1
4890,45.0000440167,-73.9998892549,1
4900,45.0000440986,-73.9998893202,1
4910,45.0000441806,-73.9998893855,1
4920,45.0000442625,-73.999889451,1
4930,45.0000443443,-73.9998895166,1
4940,45.0000444261,-73.9998895824,1
4950,45.0000445078,-73.9998896482,1
4960,45.0000445895,-73.9998897142,1
4970,45.0000446711,-73.9998897803,1
4980,45.0000447527,-73.9998898465,1
4990,45.0000448343,-73.9998899128,1
5000,45.0000449158,-73.9998899793,1
5010,45.0000449972,-73.9998900459,1
5020,45.0000450786,-73.9998901126,1
5030,45.0000451599,-73.9998901794,1
5040,45.0000452412,-73.9998902463,1
5050,45.0000453225,-73.9998903134,1
5060,45.0000454037,-73.9998903806,1
5070,45.0000454848,-73.9998904479,1
5080,45.0000455659,-73.9998905153,1
5090,45.000045647,-73.9998905828,1
5100,45.000045728,-73.9998906505,1
5110,45.0000458089,-73.9998907183,1
5120,45.0000458898,-73.9998907862,1
5130,45.0000459707,-73.9998908542,1
5140,45.0000460515,-73.9998909223,1
5150,45.0000461322,-73.9998909906,1
5160,45.0000462129,-73.999891059,1
5170,45.0000462935,-73.9998911275,1
5180,45.0000463741,-73.9998911961,1
5190,45.0000464547,-73.9998912648,1
5200,45.0000465352,-73.9998913337,1
5210,45.0000466156,-73.9998914027,1
5220,45.000046696,-73.9998914718,1
5230,45.0000467763,-73.999891541,1
5240,45.0000468566,-73.9998916103,1
5250,45.0000469368,-73.9998916798,1
5260,45.000047017,-73.9998917493,1
5270,45.0000470972,-73.999891819,1
5280,45.0000471772,-73.9998918888,1
5290,45.0000472573,-73.9998919588,1
5300,45.0000473372,-73.9998920288,1
5310,45.0000474172,-73.999892099,1
5320,45.000047497,-73.9998921693,1
5330,45.0000475769,-73.9998922397,1
5340,45.0000476566,-73.9998923102,1
5350,45.0000477363,-73.9998923808,1
5360,45.000047816,-73.9998924516,1
5370,45.0000478956,-73.9998925224,1
5380,45.0000479752,-73.9998925934,1
5390,45.0000480547,-73.9998926645,1
5400,45.0000481341,-73.9998927358,1
5410,45.0000482135,-73.9998928071,1
5420,45.0000482929,-73.9998928786,1
5430,45.0000483722,-73.9998929501,1
5440,45.0000484514,-73.9998930218,1
5450,45.0000485306,-73.9998930937,1
5460,45.0000486097,-73.9998931656,1
5470,45.0000486888,-73.9998932376,1
5480,45.0000487679,-73.9998933098,1
5490,45.0000488468,-73.9998933821,1
5500,45.0000489258,-73.9998934545,1
5510,45.0000490046,-73.999893527,1
5520,45.0000490834,-73.9998935996,1
5530,45.0000491622,-73.9998936724,1
5540,45.0000492409,-73.9998937452,1
5550,45.0000493196,-73.9998938182,1
5560,45.0000493982,-73.9998938913,1
5570,45.0000494767,-73.9998939645,1
5580,45.0000495552,-73.9998940379,1
5590,45.0000496336,-73.9998941113,1
5600,45.000049712,-73.9998941849,1
5610,45.0000497903,-73.9998942586,1
5620,45.0000498686,-73.9998943324,1
5630,45.0000499468,-73.9998944063,1
5640,45.000050025,-73.9998944803,1
5650,45.0000501031,-73.9998945544,1
5660,45.0000501811,-73.9998946287,1
5670,45.0000502591,-73.9998947031,1
5680,45.0000503371,-73.9998947776,1
5690,45.000050415,-73.9998948522,1
5700,45.0000504928,-73.9998949269,1
5710,45.0000505706,-73.9998950017,1
5720,45.0000506483,-73.9998950767,1
5730,45.000050726,-73.9998951517,1
5740,45.0000508036,-73.9998952269,1
5750,45.0000508811,-73.9998953022,1
5760,45.0000509586,-73.9998953776,1
5770,45.0000510361,-73.9998954531,1
5780,45.0000511135,-73.9998955288,1
5790,45.0000511908,-73.9998956045,1
5800,45.0000512681,-73.9998956804,1
5810,45.0000513453,-73.9998957564,1
5820,45.0000514225,-73.9998958325,1
5830,45.0000514996,-73.9998959087,1
5840,45.0000515766,-73.999895985,1
5850,45.0000516536,-73.9998960615,1
5860,45.0000517305,-73.999896138,1
5870,45.0000518074,-73.9998962147,1
5880,45.0000518842,-73.9998962915,1
5890,45.000051961,-73.9998963684,1
5900,45.0000520377,-73.9998964454,1
5910,45.0000521144,-73.9998965225,1
5920,45.000052191,-73.9998965997,1
5930,45.0000522675,-73.9998966771,1
5940,45.000052344,-73.9998967545,1
5950,45.0000524204,-73.9998968321,1
5960,45.0000524968,-73.9998969098,1
5970,45.0000525731,-73.9998969876,1
5980,45.0000526493,-73.9998970655,1
5990,45.0000527255,-73.9998971436,1
6000,45.0000528016,-73.9998972217,1
6010,45.0000528777,-73.9998973,1
6020,45.0000529537,-73.9998973783,1
6030,45.0000530297,-73.9998974568,1
6040,45.0000531056,-73.9998975354,1
6050,45.0000531814,-73.9998976141,1
6060,45.0000532572,-73.9998976929,1
6070,45.000053333,-73.9998977718,1
6080,45.0000534086,-73.9998978509,1
6090,45.0000534842,-73.99989793,1
6100,45.0000535598,-73.9998980093,1
6110,45.0000536353,-73.9998980887,1
6120,45.0000537107,-73.9998981682,1
6130,45.0000537861,-73.9998982478,1
6140,45.0000538614,-73.9998983275,1
6150,45.0000539367,-73.9998984073,1
6160,45.0000540119,-73.9998984872,1
6170,45.000054087,-73.9998985673,1
6180,45.0000541621,-73.9998986474,1
6190,45.0000542371,-73.9998987277,1
6200,45.0000543121,-73.9998988081,1
6210,45.000054387,-73.9998988886,1
6220,45.0000544618,-73.9998989692,1
6230,45.0000545366,-73.9998990499,1
6240,45.0000546113,-73.9998991307,1
6250,45.000054686,-73.9998992116,1
6260,45.0000547606,-73.9998992927,1
6270,45.0000548351,-73.9998993738,1
6280,45.0000549096,-73.9998994551,1
6290,45.000054984,-73.9998995365,1
6300,45.0000550584,-73.9998996179,1
6310,45.0000551327,-73.9998996995,1
6320,45.0000552069,-73.9998997812,1
6330,45.0000552811,-73.9998998631,1
6340,45.0000553552,-73.999899945,1
6350,45.0000554293,-73.999900027,1
6360,45.0000555033,-73.9999001092,1
6370,45.0000555772,-73.9999001914,1
6380,45.0000556511,-73.9999002738,1
6390,45.0000557249,-73.9999003562,1
6400,45.0000557987,-73.9999004388,1
6410,45.0000558723,-73.9999005215,1
6420,45.000055946,-73.9999006043,1
6430,45.0000560195,-73.9999006872,1
6440,45.0000560931,-73.9999007702,1
6450,45.0000561665,-73.9999008534,1
6460,45.0000562399,-73.9999009366,1
6470,45.0000563132,-73.9999010199,1
6480,45.0000563865,-73.9999011034,1
6490,45.0000564597,-73.999901187,1
6500,45.0000565328,-73.9999012706,1
6510,45.0000566059,-73.9999013544,1
6520,45.0000566789,-73.9999014383,1
6530,45.0000567519,-73.9999015223,1
6540,45.0000568247,-73.9999016064,1
6550,45.0000568976,-73.9999016906,1
6560,45.0000569703,-73.9999017749,1
6570,45.000057043,-73.9999018593,1
6580,45.0000571157,-73.9999019439,1
6590,45.0000571883,-73.9999020285,1
6600,45.0000572608,-73.9999021133,1
6610,45.0000573332,-73.9999021981,1
6620,45.0000574056,-73.9999022831,1
6630,45.0000574779,-73.9999023681,1
6640,45.0000575502,-73.9999024533,1
6650,45.0000576224,-73.9999025386,1
6660,45.0000576945,-73.999902624,1
6670,45.0000577666,-73.9999027095,1
6680,45.0000578386,-73.9999027951,1
6690,45.0000579106,-73.9999028808,1
6700,45.0000579825,-73.9999029666,1
6710,45.0000580543,-73.9999030525,1
6720,45.000058126,-73.9999031386,1
6730,45.0000581977,-73.9999032247,1
6740,45.0000582693,-73.9999033109,1
6750,45.0000583409,-73.9999033973,1
6760,45.0000584124,-73.9999034837,1
6770,45.0000584838,-73.9999035703,1
6780,45.0000585552,-73.999903657,1
6790,45.0000586265,-73.9999037437,1
6800,45.0000586978,-73.9999038306,1
6810,45.000058769,-73.9999039176,1
6820,45.0000588401,-73.9999040047,1
6830,45.0000589111,-73.9999040919,1
6840,45.0000589821,-73.9999041792,1
6850,45.000059053,-73.9999042666,1
6860,45.0000591239,-73.9999043541,1
6870,45.0000591947,-73.9999044417,1
6880,45.0000592654,-73.9999045294,1
6890,45.0000593361,-73.9999046172,1
6900,45.0000594067,-73.9999047052,1
6910,45.0000594772,-73.9999047932,1
6920,45.0000595477,-73.9999048813,1
6930,45.0000596181,-73.9999049696,1
6940,45.0000596884,-73.9999050579,1
6950,45.0000597587,-73.9999051464,1
6960,45.0000598289,-73.9999052349,1
6970,45.000059899,-73.9999053236,1
6980,45.0000599691,-73.9999054123,1
6990,45.0000600391,-73.9999055012,1
7000,45.000060109,-73.9999055902,1
7010,45.0000601789,-73.9999056792,1
7020,45.0000602487,-73.9999057684,1
7030,45.0000603185,-73.9999058577,1
7040,45.0000603881,-73.9999059471,1
7050,45.0000604577,-73.9999060366,1
7060,45.0000605273,-73.9999061261,1
7070,45.0000605968,-73.9999062158,1
